Model,Accuracy,Precision,Recall,F1,AUC
Random Search GB,0.8324282786885245,0.7699652777777778,0.6160791804132661,0.684479598726729,0.8937447241846612
Grid Search RF,0.8129354508196721,0.7699500448315614,0.5218787984025004,0.6220957309184993,0.8763726205100419
Basic NN,0.8034579918032787,0.7291691500774824,0.5310817850321237,0.6145576932737228,0.8506192835751762
Dropout NN,0.8060963114754098,0.7575678496868476,0.5040805695433235,0.605359190908143,0.8545732184083356
L2 Regularized NN,0.7975922131147541,0.7258870564717641,0.504427852057649,0.5952258989857596,0.8392654232862429
